Bentso technology,uri
Fossil Hard coal,http://rdf.bonsai.uno/activitytype/entsoe/Fossil_Hard_coal
Fossil Brown coal/Lignite,http://rdf.bonsai.uno/activitytype/entsoe/Fossil_Brown_coalorLignite
Fossil Gas,http://rdf.bonsai.uno/activitytype/entsoe/Fossil_Gas
Fossil Coal-derived gas,http://rdf.bonsai.uno/activitytype/entsoe/Fossil_Coal-derived_gas
Nuclear,http://rdf.bonsai.uno/activitytype/entsoe/Nuclear
Hydro Pumped Storage,http://rdf.bonsai.uno/activitytype/entsoe/Hydro_Pumped_Storage
Hydro Run-of-river and poundage,http://rdf.bonsai.uno/activitytype/entsoe/Hydro_Run-of-river_and_poundage
Hydro Water Reservoir,http://rdf.bonsai.uno/activitytype/entsoe/Hydro_Water_Reservoir
Wind Offshore,http://rdf.bonsai.uno/activitytype/entsoe/Wind_Offshore
Wind Onshore,http://rdf.bonsai.uno/activitytype/entsoe/Wind_Onshore
Fossil Oil,http://rdf.bonsai.uno/activitytype/entsoe/Fossil_Oil
Biomass,http://rdf.bonsai.uno/activitytype/entsoe/Biomass
Waste,http://rdf.bonsai.uno/activitytype/entsoe/Waste
Solar,http://rdf.bonsai.uno/activitytype/entsoe/Solar
Solar,http://rdf.bonsai.uno/activitytype/entsoe/Solar
Other renewable,http://rdf.bonsai.uno/activitytype/entsoe/Other_renewable
Geothermal,http://rdf.bonsai.uno/activitytype/entsoe/Geothermal
Other,http://rdf.bonsai.uno/activitytype/entsoe/Other
