subject,predicate,object
brdffo:C_ANTH,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_COKC,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_OTBC,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_SUBC,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_PATF,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_LIBC,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_BKBP,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_PEAT,rdfs:subClassOf,brdffo:C_CLPT
brdffo:C_GASE,rdfs:subClassOf,brdffo:C_GASS
brdffo:C_GASL,rdfs:subClassOf,brdffo:C_GASS
brdffo:C_COKE,rdfs:subClassOf,brdffo:C_COPR
brdffo:C_GCOK,rdfs:subClassOf,brdffo:C_COPR
brdffo:C_COTA,rdfs:subClassOf,brdffo:C_COPR
brdffo:C_MGSL,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_AGSL,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_GJET,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_KJET,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_KERO,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_DOIL,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_FOIL,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_RGAS,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_LPGA,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_REFF,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_ETHA,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_NAPT,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_WHSP,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_LUBR,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_BITU,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_PARW,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_PETC,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_NSPP,rdfs:subClassOf,brdffo:C_REFP
brdffo:C_CHEM,rdfs:subClassOf,brdffo:C_CHBI
brdffo:C_CHAR,rdfs:subClassOf,brdffo:C_CHBI
brdffo:C_ADDC,rdfs:subClassOf,brdffo:C_CHBI
brdffo:C_BIOG,rdfs:subClassOf,brdffo:C_CHBI
brdffo:C_BIOD,rdfs:subClassOf,brdffo:C_CHBI
brdffo:C_OBIO,rdfs:subClassOf,brdffo:C_CHBI
brdffo:C_COOG,rdfs:subClassOf,brdffo:C_BGAS
brdffo:C_MBFG,rdfs:subClassOf,brdffo:C_BGAS
brdffo:C_MOSG,rdfs:subClassOf,brdffo:C_BGAS
brdffo:C_MGWG,rdfs:subClassOf,brdffo:C_BGAS
brdffo:C_MBIO,rdfs:subClassOf,brdffo:C_BGAS
