LC-IMPACT_Name,US_EPA_Name
Carbon dioxide,Carbon dioxide
Methane,Methane
Fossil methane,Methane
Nitrous oxide,Nitrous oxide
CFC-11,CFC-11
CFC-12,CFC-12
CFC-13,CFC-13
CFC-113,CFC-113
CFC-114,CFC-114
CFC-115,CFC-115
HCFC-21,HCFC-21
HCFC-22,HCFC-22
HCFC-122,HCFC-122
HCFC-122a,
HCFC-123,HCFC-123
HCFC-123a,HCFC-123a
HCFC-124,HCFC-124
HCFC-132c,
HCFC-141b,HCFC-141b
HCFC-142b,HCFC-142b
HCFC-225ca,HCFC-225ca
HCFC-225cb,HCFC-225cb
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",
HFC-23,HFC-23
HFC-32,HFC-32
HFC-41,HFC-41
HFC-125,HFC-125
HFC-134,HFC-134
HFC-134a,HFC-134a
HFC-143,HFC-143
HFC-143a,HFC-143a
HFC-152,HFC-152
HFC-152a,HFC-152a
HFC-161,HFC-161
HFC-227ca,
HFC-227ea,HFC-227ea
HFC-236cb,HFC-236cb
HFC-236ea,HFC-236ea
HFC-236fa,HFC-236fa
HFC-245ca,HFC-245ca
HFC-245cb,
HFC-245ea,
HFC-245eb,
HFC-245fa,HFC-245fa
HFC-263fb,
HFC-272ca,
HFC-329p,
HFC-365mfc,HFC-365mfc
HFC-43-10mee,HFC-4310mee
HFC-1132a,
HFC-1141,
(Z)-HFC-1225ye,
(E)-HFC-1225ye,
(Z)-HFC-1234ze,
HFC-1234yf,
(E)-HFC-1234ze,HFC-1234ze(E)
(Z)-HFC-1336,
HFC-1243zf,
HFC-1345zfc,
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",
Methyl chloroform,
Carbon tetrachloride,Carbon tetrachloride
Methyl chloride,Chloromethane
Methylene chloride,Methylene chloride
Chloroform,Chloroform
"1,2-Dichloroethane",Dichloroethane
Methyl bromide,Methyl bromide
Methylene bromide,Dibromomethane
Halon-1201,Bromodifluoromethane
Halon-1202,
Halon-1211,Halon 1211
Halon-1301,Halon 1301
Halon-2301,
Halon-2311/Halothane,
Halon-2401,
Halon-2402,
Nitrogen trifluoride,Nitrogen trifluoride
Sulphur hexafluoride,Sulfur hexafluoride
(Trifluoromethyl)sulfur pentafluoride,Trifluoromethyl sulfur pentafluoride
Sulfuryl fluoride,Sulfuryl fluoride
PFC-14,Carbon tetrafluoride
PFC-116,Hexafluoroethane
PFC-c216,
PFC-218,Perfluoropropane
PFC-318,Perfluorocyclobutane
PFC-31-10,Perfluorobutane
Perfluorocyclopentene,
PFC-41-12,Perfluoropentane
PFC-51-14,Perfluorohexane
PFC-61-16,
PFC-71-18,
PFC-91-18,Perfluorodecalin
Perfluorodecalin(cis),
Perfluorodecalin(trans),
PFC-1114,Tetrafluoroethene
PFC-1216,
"Perfluorobuta-1,3-diene",
Perfluorobut-1-ene,
Perfluorobut-2-ene,
HFE-125,
HFE-134 (HG-00),
HFE-143a,
HFE-227ea,
HCFE-235ca2(enflurane),
HCFE-235da2(isoflurane),
HFE-236ca,
HFE-236ea2(desflurane),
HFE-236fa,
HFE-245cb2,
HFE-245fa1,
HFE-245fa2,
"2,2,3,3,3-Pentafluoropropan-1-ol",
HFE-254cb1,
HFE-263fb2,
HFE-263m1,
"3,3,3-Trifluoropropan-1-ol",
HFE-329mcc2,HFE-329mcc2
HFE-338mmz1,
HFE-338mcf2,HFE-338mcf2
Sevoflurane (HFE-347mmz1),
HFE-347mcc3 (HFE-7000),
HFE-347mcf2,HFE-347mcf2
HFE-347pcf2,HFE-347pcf2
HFE-347mmy1,
HFE-356mec3,HFE-356mec3
HFE-356mff2,
HFE-356pcf2,HFE-356pcf2
HFE-356pcf3,HFE-356pcf3
HFE-356pcc3,HFE-356pcc3
HFE-356mmz1,
HFE-365mcf3,HFE-365mcf3
HFE-365mcf2,
HFE-374pc2,
"4,4,4-Trifluorobutan-1-ol",
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",
"HFE-43-10pccc124(H-Galden 1040x,HG-11)",
HFE-449s1 (HFE-7100),
n-HFE-7100,
i-HFE-7100,
HFE-569sf2 (HFE-7200),
n-HFE-7200,
i-HFE-7200,
HFE-236ca12 (HG-10),
HFE-338pcc13 (HG-01),HFE-338pcc13 (HG-01)
"1,1,1,3,3,3-Hexafluoropropan-2-ol",
HG-02,
HG-03,
HG-20,
HG-21,
HG-30,
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",
Fluoroxene,
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",
Fluoro(methoxy)methane,
Difluoro(methoxy)methane,
Fluoro(fluoromethoxy)methane,
Difluoro(fluoromethoxy)methane,
Trifluoro(fluoromethoxy)methane,
HG'-01,
HG'-02,
HG'-03,
HFE-329me3,
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",
PFPMIE(perfluoropolymethylisopropyl ether),
HFE-216,
Trifluoromethylformate,
Perfluoroethylformate,
Perfluoropropylformate,
Perfluorobutylformate,
"2,2,2-Trifluoroethylformate",
"3,3,3-Trifluoropropylformate",
"1,2,2,2-Tetrafluoroethylformate",
"1,1,1,3,3,3-Hexafluoropropan-2-ylformate",
Perfluorobutylacetate,
Perfluoropropylacetate,
Perfluoroethylacetate,
Trifluoromethylacetate,
Methylcarbonofluoridate,Methyl chlorocarbonate
"1,1-Difluoroethylcarbonofluoridate",
"1,1-Difluoroethyl2,2,2-trifluoroacetate",
"Ethyl 2,2,2-trifluoroacetate",
"2,2,2-Trifluoroethyl2,2,2-trifluoroacetate",
"Methyl 2,2,2-trifluoroacetate",
"Methyl 2,2-difluoroacetate",
"Difluoromethyl 2,2,2-trifluoroacetate",
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",
"2,2,3,3-Tetrafluoro-1-propanol",
"2,2,3,4,4,4-Hexafluoro-1-butanol",
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",
"1,1,2,2-Tetrafluoro-3-methoxy-propane",
perfluoro-2-methyl-3-pentanone,
"3,3,3-Trifluoropropanal",
2-Fluoroethanol,
"2,2-Difluoroethanol",
"2,2,2-Trifluoroethanol",
"1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",
