US_EPA_Name,Radiative Forcing 100(W m-2 yr kg-1)
Carbon dioxide,9.17e-14
Methane,2.61e-12
Methane,2.7300000000000003e-12
Nitrous oxide,2.43e-11
CFC-11,4.28e-10
CFC-12,9.39e-10
CFC-13,1.27e-09
CFC-113,5.34e-10
CFC-114,7.88e-10
CFC-115,7.030000000000001e-10
HCFC-21,1.35e-11
HCFC-22,1.6199999999999998e-10
HCFC-122,5.43e-12
HCFC-123,7.28e-12
HCFC-123a,3.39e-11
HCFC-124,4.83e-11
HCFC-141b,7.17e-11
HCFC-142b,1.82e-10
HCFC-225ca,1.17e-11
HCFC-225cb,4.81e-11
HFC-23,1.14e-09
HFC-32,6.21e-11
HFC-41,1.07e-11
HFC-125,2.9100000000000003e-10
HFC-134,1.02e-10
HFC-134a,1.19e-10
HFC-143,3.01e-11
HFC-143a,4.41e-10
HFC-152,1.51e-12
HFC-152a,1.26e-11
HFC-161,3.3299999999999994e-13
HFC-227ea,3.07e-10
HFC-236cb,1.11e-10
HFC-236ea,1.2200000000000002e-10
HFC-236fa,7.389999999999999e-10
HFC-245ca,6.56e-11
HFC-245fa,7.87e-11
HFC-365mfc,7.379999999999999e-11
HFC-4310mee,1.51e-10
HFC-1234ze(E),8.74e-14
Carbon tetrachloride,1.5900000000000002e-10
Chloromethane,1.12e-12
Methylene chloride,8.179999999999999e-13
Chloroform,1.5e-12
Dichloroethane,8.24e-14
Methyl bromide,2.1600000000000004e-13
Dibromomethane,9.31e-14
Bromodifluoromethane,3.45e-11
Halon 1211,1.6000000000000002e-10
Halon 1301,5.77e-10
Nitrogen trifluoride,1.47e-09
Sulfur hexafluoride,2.1600000000000004e-09
Trifluoromethyl sulfur pentafluoride,1.6e-09
Sulfuryl fluoride,3.76e-10
Carbon tetrafluoride,6.08e-10
Hexafluoroethane,1.02e-09
Perfluoropropane,8.160000000000001e-10
Perfluorocyclobutane,8.75e-10
Perfluorobutane,8.44e-10
Perfluoropentane,7.84e-10
Perfluorohexane,7.26e-10
Perfluorodecalin,6.59e-10
Tetrafluoroethene,2.68e-16
HFE-329mcc2,2.81e-10
HFE-338mcf2,8.52e-11
HFE-347mcf2,7.83e-11
HFE-347pcf2,8.149999999999999e-11
HFE-356mec3,3.55e-11
HFE-356pcf2,6.59e-11
HFE-356pcf3,4.09e-11
HFE-356pcc3,3.79e-11
HFE-365mcf3,8.51e-14
HFE-338pcc13 (HG-01),2.67e-10
Methyl chlorocarbonate,8.74e-12
